sbd,Toán,Văn,Lí,Hóa,Sinh,Ngoại ngữ,Sử,Địa,GDCD
1000001,8.4,8.5,,,,9.2,6.75,6.0,9.0
1000002,7.2,8.5,,,,9.2,8.75,6.5,8.5
1000003,,6.5,,,,,9.25,7.5,
1000004,7.8,8.25,,,,7.8,4.5,6.25,8.25
1000005,7.2,8.0,,,,7.8,4.75,6.75,8.25
1000006,7.6,9.25,,,,9.0,8.5,7.25,9.75
1000007,5.6,7.0,,,,6.4,4.75,5.75,8.0
1000008,7.2,7.5,5.0,3.5,1.75,6.0,,,
1000009,7.6,8.25,,,,9.0,6.5,7.25,9.5
1000010,8.2,9.5,,,,7.0,7.25,6.5,8.75
1000011,5.6,7.0,5.75,3.5,4.5,8.4,,,
1000012,7.2,8.5,,,,8.4,8.0,7.75,8.25
1000013,7.4,5.75,8.0,3.75,5.75,8.0,,,
1000014,7.0,4.5,,,,,4.25,6.5,8.25
1000015,8.2,8.5,5.75,7.5,7.75,9.2,,,
1000016,8.2,8.75,,,,8.4,6.5,6.25,9.5
1000017,7.4,7.75,3.0,6.5,6.75,6.6,,,
1000018,,7.0,,,,2.8,7.5,7.25,
1000019,8.4,9.0,,,,9.4,8.25,7.25,8.5
1000020,8.2,8.75,,,,7.2,8.75,9.0,9.75
1000021,8.2,8.25,,,,7.8,5.75,6.5,8.25
1000022,8.0,9.25,,,,9.0,6.5,6.5,9.25
1000023,8.6,8.5,,,,9.8,8.75,7.5,8.75
1000024,8.2,9.0,,,,9.6,8.75,7.25,9.25
1000025,6.6,8.25,,,,8.0,6.25,6.5,8.25
1000026,7.4,9.0,,,,8.8,5.25,6.0,8.5
1000027,8.0,8.0,5.0,8.0,8.0,9.2,,,
1000028,8.2,9.0,,,,9.6,6.25,7.75,9.25
1000029,2.8,6.75,,,,,5.25,5.75,
1000030,7.2,8.75,,,,8.6,8.0,5.75,9.0
1000031,5.0,6.5,5.5,5.25,4.75,3.2,,,
1000032,8.2,6.25,8.25,7.75,6.25,5.4,,,
1000033,7.2,8.0,,,,9.0,5.0,5.25,7.0
1000034,7.6,9.0,,,,6.6,7.0,6.5,8.5
1000035,5.0,3.5,,,,,4.5,5.5,
1000036,7.8,7.75,6.25,6.5,6.5,5.0,,,
1000037,,8.5,,,,,9.25,9.25,
1000038,7.8,8.0,7.75,7.25,7.75,9.2,,,
1000039,5.8,9.25,,,,,6.0,7.0,9.25
1000040,7.2,8.0,,,,8.6,5.25,6.5,9.0
1000041,8.6,7.75,6.0,8.5,8.75,9.4,,,
1000042,7.6,9.5,,,,7.4,6.75,5.25,8.25
1000043,7.0,8.0,,,,7.6,7.25,5.25,8.25
1000044,7.6,6.5,7.25,8.5,5.5,6.2,,,
1000045,3.8,7.5,,,,4.2,6.5,5.5,8.25
1000046,7.8,4.0,6.75,7.5,6.5,9.4,,,
1000047,8.6,7.0,7.75,5.5,4.0,8.6,,,
1000048,5.4,8.0,,,,7.4,4.0,5.25,7.0
1000049,7.8,8.75,,,,8.0,7.25,5.5,9.0
1000050,8.6,8.5,,,,8.2,6.75,5.75,8.25
1000051,8.6,8.75,,,,9.4,7.25,6.5,8.75
1000052,7.4,9.0,,,,8.2,6.75,6.75,9.0
1000053,8.2,8.5,,,,8.8,4.5,6.5,9.75
1000054,,6.25,,,,,5.75,6.25,
1000055,7.0,8.25,,,,7.0,8.0,7.5,9.75
1000056,6.0,8.0,,,,7.4,6.75,5.25,8.25
1000057,7.6,9.25,,,,9.0,6.25,6.0,9.25
1000058,7.8,5.5,6.75,8.0,4.75,7.4,,,
1000059,8.2,8.0,6.75,5.5,8.25,8.8,,,
1000060,6.0,7.5,,,,8.0,5.5,5.5,6.5
1000061,,6.75,,,,,7.75,7.25,
1000062,6.4,4.0,,,,5.4,,,
1000063,7.4,7.75,6.25,5.0,4.75,9.0,,,
1000064,7.8,7.75,,,,9.2,7.0,5.0,7.75
1000065,8.2,6.5,7.0,1.75,3.5,8.8,,,
1000066,7.2,6.5,,,,,3.5,4.0,
1000067,8.0,9.5,,,,8.8,6.5,6.25,7.75
1000068,8.4,9.0,,,,9.6,8.25,7.75,10.0
1000069,7.6,9.0,,,,9.6,7.25,6.75,9.5
